1:1	سمو ءله رحم رحم
20:58	ءتی سحر مثل جعل بین بین وعد خلف کون سوو
20:59	قول وعد یوم زین حشر ءنس ضحو
20:60	ولی فرعن جمع کید ءتی
20:61	قول وسی ویل فری ءله کذب سحت عذب خیب فری
20:62	نزع ءمر بین سرر نجو
20:63	قول سحر رود خرج ءرض سحر ذهب طرق مثل
20:64	جمع کید ءتی صفف فلح یوم علو
20:65	قول وسی لقی کون ءول لقی
20:66	قول لقی حبل عصو خیل سحر سعی
20:67	وجس نفس خوف وسی
20:68	قول خوف علو
20:69	لقی یمن لقف صنع صنع کید سحر فلح سحر حیث ءتی
20:70	لقی سحر سجد قول ءمن ربب هرن وسی
20:71	قول ءمن قبل ءذن کبر علم سحر قطع یدی رجل خلف صلب جذع نخل علم شدد عذب بقی
20:72	قول ءثر جیء بین فطر قضی قضی قضی حیی دنو
20:73	ءمن ربب غفر خطء کره سحر ءله خیر بقی
20:74	ءتی ربب جرم جهنم موت حیی
20:75	ءتی ءمن عمل صلح درج علو
20:76	جنن عدن جری تحت نهر خلد جزی زکو
20:77	وحی وسی سری عبد ضرب طرق بحر یبس خوف درک خشی
20:78	تبع فرعن جند غشو یمم غشو
20:79	ضلل فرعن قوم هدی
20:80	بنو نجو عدو وعد جنب طور یمن نزل منن سلو
20:81	ءکل طیب رزق طغی حلل غضب حلل غضب هوی
20:82	غفر توب ءمن عمل صلح هدی
20:83	عجل قوم وسی
20:84	قول ءول ءثر عجل ربب رضو
20:85	قول فتن قوم بعد ضلل سمر
20:86	رجع وسی قوم غضب ءسف قول قوم وعد ربب وعد حسن طول عهد رود حلل غضب ربب خلف وعد
20:87	قول خلف وعد ملک حمل وزر زین قوم قذف لقی سمر
20:88	خرج عجل جسد خور قول ءله ءله وسی نسی
20:89	رءی رجع قول ملک ضرر نفع
20:90	قول هرن قبل قوم فتن ربب رحم تبع طوع ءمر
20:91	قول برح عکف رجع وسی
20:92	قول هرن منع رءی ضلل
20:93	تبع عصی ءمر
20:94	قول بنو ءمم ءخذ لحی رءس خشی قول فرق بین بنو رقب قول
20:95	قول خطب سمر
20:96	قول بصر بصر قبض قبض ءثر رسل نبذ سول نفس
20:97	قول ذهب حیی قول مسس وعد خلف نظر ءله ظلل عکف حرق نسف یمم نسف
20:98	ءله ءله ءله وسع کلل شیء علم
20:99	قصص نبء سبق ءتی لدن ذکر
20:100	عرض حمل یوم قوم وزر
20:101	خلد سوء یوم قوم حمل
20:102	یوم نفخ صور حشر جرم یوم زرق
20:103	خفت بین لبث عشر
20:104	علم قول قول مثل طرق لبث یوم
20:105	سءل جبل قول نسف ربب نسف
20:106	وذر قوع صفصف
20:107	رءی عوج ءمت
20:108	یوم تبع دعو عوج خشع صوت رحم سمع همس
20:109	یوم نفع شفع ءذن رحم رضو قول
20:110	علم بین یدی خلف حوط علم
20:111	عنی وجه حیی قوم خیب حمل ظلم
20:112	عمل صلح ءمن خوف ظلم هضم
20:113	نزل قرء عرب صرف وعد وقی حدث ذکر
20:114	علو ءله ملک حقق عجل قرء قبل قضی وحی قول ربب زید علم
20:115	عهد ءدم قبل نسی وجد عزم
20:116	قول ملک سجد ءدم سجد بلس ءبی
20:117	قول ءدم عدو زوج خرج جنن شقو
20:118	جوع عری
20:119	ظمء ضحو
20:120	وسوس شطن قول ءدم دلل شجر خلد ملک بلی
20:121	ءکل بدو سوء طفق خصف ورق جنن عصی ءدم ربب غوی
20:122	جبی ربب توب هدی
20:123	قول هبط جمع بعض بعض عدو ءتی هدی تبع هدی ضلل شقو
20:124	عرض ذکر عیش ضنک حشر یوم قوم عمی
20:125	قول ربب حشر عمی کون بصر
20:126	قول ءتی ءیی نسی یوم نسی
20:127	جزی سرف ءمن ءیی ربب عذب ءخر شدد بقی
20:128	هدی هلک قبل قرن مشی سکن ءیی ءول نهی
20:129	کلم سبق ربب کون لزم ءجل سمو
20:130	صبر قول سبح حمد ربب قبل طلع شمس قبل غرب ءنی لیل سبح طرف نهر رضو
20:131	مدد عین متع زوج زهر حیی دنو فتن رزق ربب خیر بقی
20:132	ءمر ءهل صلو صبر سءل رزق رزق عقب وقی
20:133	قول ءتی ءیی ربب ءتی بین صحف ءول
20:134	هلک عذب قبل قول ربب رسل رسل تبع ءیی قبل ذلل خزی
20:135	قول کلل ربص ربص علم صحب صرط سوو هدی
21:1	قرب ءنس حسب غفل عرض
21:2	ءتی ذکر ربب حدث سمع لعب
21:3	لهو قلب سرر نجو ظلم بشر مثل ءتی سحر بصر
21:4	قول ربب علم قول سمو ءرض سمع علم
21:5	قول ضغث حلم فری شعر ءتی ءیی رسل ءول
21:6	ءمن قبل قری هلک ءمن
21:7	رسل قبل رجل وحی سءل ءهل ذکر کون علم
21:8	جعل جسد ءکل طعم کون خلد
21:9	صدق وعد نجو شیء هلک سرف
21:10	نزل کتب ذکر عقل
21:11	قصم قری کون ظلم نشء بعد قوم ءخر
21:12	حسس بءس رکض
21:13	رکض رجع ترف سکن سءل
21:14	قول ویل کون ظلم
21:15	زیل دعو جعل حصد خمد
21:16	خلق سمو ءرض بین لعب
21:17	رود ءخذ لهو ءخذ لدن کون فعل
21:18	قذف حقق بطل دمغ زهق ویل وصف
21:19	سمو ءرض عند کبر عبد حسر
21:20	سبح لیل نهر فتر
21:21	ءخذ ءله ءرض نشر
21:22	کون ءله ءله فسد سبح ءله ربب عرش وصف
21:23	سءل فعل سءل
21:24	ءخذ دون ءله قول هیت برهن ذکر ذکر قبل کثر علم حقق عرض
21:25	رسل قبل رسل وحی ءله عبد
21:26	قول ءخذ رحم ولد سبح عبد کرم
21:27	سبق قول ءمر عمل
21:28	علم بین یدی خلف شفع رضو خشی شفق
21:29	قول ءله دون جزی جهنم جزی ظلم
21:30	رءی کفر سمو ءرض کون رتق فتق جعل موه کلل شیء حیی ءمن
21:31	جعل ءرض رسو مید جعل فجج سبل هدی
21:32	جعل سمو سقف حفظ ءیی عرض
21:33	خلق لیل نهر شمس قمر کلل فلک سبح
21:34	جعل بشر قبل خلد موت خلد
21:35	کلل نفس ذوق موت بلو شرر خیر فتن رجع
21:36	رءی کفر ءخذ هزء ذکر ءله ذکر رحم کفر
21:37	خلق ءنس عجل رءی ءیی عجل
21:38	قول وعد کون صدق
21:39	علم کفر حین کفف وجه نور ظهر نصر
21:40	ءتی بغت بهت طوع ردد نظر
21:41	هزء رسل قبل حیق سخر کون هزء
21:42	قول کلء لیل نهر رحم ذکر ربب عرض
21:43	ءله منع دون طوع نصر نفس صحب
21:44	متع ءبو طول عمر رءی ءتی ءرض نقص طرف غلب
21:45	قول نذر وحی سمع صمم دعو نذر
21:46	مسس نفح عذب ربب قول ویل کون ظلم
21:47	وضع وزن قسط یوم قوم ظلم نفس شیء کون ثقل حبب خردل ءتی کفی حسب
21:48	ءتی وسی هرن فرق ضوء ذکر وقی
21:49	خشی ربب غیب سوع شفق
21:50	ذکر برک نزل نکر
21:51	ءتی برهم رشد قبل کون علم
21:52	قول ءبو قوم مثل عکف
21:53	قول وجد ءبو عبد
21:54	قول کون ءبو ضلل بین
21:55	قول جیء حقق لعب
21:56	قول ربب ربب سمو ءرض فطر شهد
21:57	ءله کید صنم بعد ولی دبر
21:58	جعل جذذ کبر رجع
21:59	قول فعل ءله ظلم
21:60	قول سمع فتی ذکر قول برهم
21:61	قول ءتی عین ءنس شهد
21:62	قول فعل ءله برهم
21:63	قول فعل کبر سءل کون نطق
21:64	رجع نفس قول ظلم
21:65	نکس رءس علم نطق
21:66	قول عبد دون ءله نفع شیء ضرر
21:67	ءفف عبد دون ءله عقل
21:68	قول حرق نصر ءله کون فعل
21:69	قول نور کون برد سلم برهم
21:70	رود کید جعل خسر
21:71	نجو لوط ءرض برک علم
21:72	وهب سحق عقب نفل کلل جعل صلح
21:73	جعل ءمم هدی ءمر وحی فعل خیر قوم صلو ءتی زکو کون عبد
21:74	لوط ءتی حکم علم نجو قری کون عمل خبث کون قوم سوء فسق
21:75	دخل رحم صلح
21:76	نوح ندو قبل جوب نجو ءهل کرب عظم
21:77	نصر قوم کذب ءیی کون قوم سوء غرق جمع
21:78	دود سلم حکم حرث نفش غنم قوم کون حکم شهد
21:79	فهم سلم کلل ءتی حکم علم سخر دود جبل سبح طیر کون فعل
21:80	علم صنع لبس حصن بءس شکر
21:81	سلم روح عصف جری ءمر ءرض برک کون کلل شیء علم
21:82	شطن غوص عمل عمل دون کون حفظ
21:83	ءوب ندو ربب مسس ضرر رحم رحم
21:84	جوب کشف ضرر ءتی ءهل مثل رحم عند ذکر عبد
21:85	درس ذوی کفل کلل صبر
21:86	دخل رحم صلح
21:87	ذوی نون ذهب غضب ظنن قدر ندو ظلم ءله سبح کون ظلم
21:88	جوب نجو غمم نجو ءمن
21:89	زکر ندو ربب ربب وذر فرد خیر ورث
21:90	جوب وهب حیی صلح زوج کون سرع خیر دعو رغب رهب کون خشع
21:91	حصن فرج نفخ روح جعل بنو ءیی علم
21:92	ءمم ءمم وحد ربب عبد
21:93	قطع ءمر بین کلل رجع
21:94	عمل صلح ءمن کفر سعی کتب
21:95	حرم قری هلک رجع
21:96	فتح ءجج ءجج کلل حدب نسل
21:97	قرب وعد حقق شخص بصر کفر ویل کون غفل کون ظلم
21:98	عبد دون ءله حصب جهنم ورد
21:99	کون ءله ورد کلل خلد
21:100	زفر سمع
21:101	سبق حسن بعد
21:102	سمع حسس شهو نفس خلد
21:103	حزن فزع کبر لقی ملک یوم کون وعد
21:104	یوم طوی سمو طوی سجل کتب بدء ءول خلق عود وعد کون فعل
21:105	کتب زبر بعد ذکر ءرض ورث عبد صلح
21:106	بلغ قوم عبد
21:107	رسل رحم علم
21:108	قول وحی ءله ءله وحد سلم
21:109	ولی قول ءذن سوو دری قرب بعد وعد
21:110	علم جهر قول علم کتم
21:111	دری فتن متع حین
21:112	قول ربب حکم حقق ربب رحم عون وصف
22:1	ءنس وقی ربب زلزل سوع شیء عظم
22:2	یوم رءی ذهل کلل رضع رضع وضع کلل ذوی حمل حمل رءی ءنس سکر سکر عذب ءله شدد
22:3	ءنس جدل ءله غیر علم تبع کلل شطن مرد
22:4	کتب ولی ضلل هدی عذب سعر
22:5	ءنس کون ریب بعث خلق ترب نطف علق مضغ خلق غیر خلق بین قرر رحم شیء ءجل سمو خرج طفل بلغ شدد وفی ردد رذل عمر علم بعد علم شیء رءی ءرض همد نزل موه هزز ربو نبت کلل زوج بهج
22:6	ءله حقق حیی موت کلل شیء قدر
22:7	سوع ءتی ریب ءله بعث قبر
22:8	ءنس جدل ءله غیر علم هدی کتب نور
22:9	ثنی عطف ضلل سبل ءله دنو خزی ذوق یوم قوم عذب حرق
22:10	قدم یدی ءله لیس ظلم عبد
22:11	ءنس عبد ءله حرف صوب خیر طمءن صوب فتن قلب وجه خسر دنو ءخر خسر بین
22:12	دعو دون ءله ضرر نفع ضلل بعد
22:13	دعو ضرر قرب نفع بءس ولی بءس عشر
22:14	ءله دخل ءمن عمل صلح جنن جری تحت نهر ءله فعل رود
22:15	کون ظنن نصر ءله دنو ءخر مدد سبب سمو قطع نظر ذهب کید غیظ
22:16	نزل ءیی بین ءله هدی رود
22:17	ءمن هود صبء نصر مجس شرک ءله فصل بین یوم قوم ءله کلل شیء شهد
22:18	رءی ءله سجد سمو ءرض شمس قمر نجم جبل شجر دبب کثر ءنس کثر حقق عذب هون ءله کرم ءله فعل شیء
22:19	خصم خصم ربب کفر قطع ثوب نور صبب فوق رءس حمم
22:20	صهر بطن جلد
22:21	قمع حدد
22:22	کلل رود خرج غمم عود ذوق عذب حرق
22:23	ءله دخل ءمن عمل صلح جنن جری تحت نهر حلی سور ذهب لءلء لبس حرر
22:24	هدی طیب قول هدی صرط حمد
22:25	کفر صدد سبل ءله سجد حرم جعل ءنس سوو عکف بدو رود لحد ظلم ذوق عذب ءلم
22:26	بوء برهم کون بیت شرک شیء طهر بیت طوف قوم رکع سجد
22:27	ءذن ءنس حجج ءتی رجل کلل ضمر ءتی کلل فجج عمق
22:28	شهد نفع ذکر سمو ءله یوم علم رزق بهم نعم ءکل طعم بءس فقر
22:29	قضی تفث وفی نذر طوف بیت عتق
22:30	عظم حرم ءله خیر عند ربب حلل نعم تلو جنب رجس وثن جنب قول زور
22:31	حنف ءله غیر شرک شرک ءله خرر سمو خطف طیر هوی روح کون سحق
22:32	عظم شعر ءله وقی قلب
22:33	نفع ءجل سمو حلل بیت عتق
22:34	کلل ءمم جعل نسک ذکر سمو ءله رزق بهم نعم ءله ءله وحد سلم بشر خبت
22:35	ذکر ءله وجل قلب صبر صوب قوم صلو رزق نفق
22:36	بدن جعل شعر ءله خیر ذکر سمو ءله صفف وجب جنب ءکل طعم قنع عرر سخر شکر
22:37	نیل ءله لحم دمو نیل وقی سخر کبر ءله هدی بشر حسن
22:38	ءله دفع ءمن ءله حبب کلل خون کفر
22:39	ءذن قتل ظلم ءله نصر قدر
22:40	خرج دور غیر حقق قول ربب ءله دفع ءله ءنس بعض بعض هدم صمع بیع صلو سجد ذکر سمو ءله کثر نصر ءله نصر ءله قوی عزز
22:41	مکن ءرض قوم صلو ءتی زکو ءمر عرف نهی نکر ءله عقب ءمر
22:42	کذب کذب قبل قوم نوح عود ثمد
22:43	قوم برهم قوم لوط
22:44	صحب مدن کذب وسی ملو کفر ءخذ کون نکر
22:45	قری هلک ظلم خوی عرش بءر عطل قصر شید
22:46	سیر ءرض کون قلب عقل ءذن سمع عمی بصر عمی قلب صدر
22:47	عجل عذب خلف ءله وعد یوم عند ربب ءلف سنو عدد
22:48	قری ملو ظلم ءخذ صیر
22:49	قول ءنس نذر بین
22:50	ءمن عمل صلح غفر رزق کرم
22:51	سعی ءیی عجز صحب جحم
22:52	رسل قبل رسل نبو منی لقی شطن منی نسخ ءله لقی شطن حکم ءله ءیی ءله علم حکم
22:53	جعل لقی شطن فتن قلب مرض قسو قلب ظلم شقق بعد
22:54	علم ءتی علم حقق ربب ءمن خبت قلب ءله هدی ءمن صرط قوم
22:55	زیل کفر مری ءتی سوع بغت ءتی عذب یوم عقم
22:56	ملک یوم ءله حکم بین ءمن عمل صلح جنن نعم
22:57	کفر کذب ءیی عذب هون
22:58	هجر سبل ءله قتل موت رزق ءله رزق حسن ءله خیر رزق
22:59	دخل دخل رضو ءله علم حلم
22:60	عقب مثل عقب بغی نصر ءله ءله عفو غفر
22:61	ءله ولج لیل نهر ولج نهر لیل ءله سمع بصر
22:62	ءله حقق دعو دون بطل ءله علو کبر
22:63	رءی ءله نزل سمو موه صبح ءرض خضر ءله لطف خبر
22:64	سمو ءرض ءله غنی حمد
22:65	رءی ءله سخر ءرض فلک جری بحر ءمر مسک سمو وقع ءرض ءذن ءله ءنس رءف رحم
22:66	حیی موت حیی ءنس کفر
22:67	کلل ءمم جعل نسک نسک نزع ءمر دعو ربب هدی قوم
22:68	جدل قول ءله علم عمل
22:69	ءله حکم بین یوم قوم کون خلف
22:70	علم ءله علم سمو ءرض کتب ءله یسر
22:71	عبد دون ءله نزل سلط لیس علم ظلم نصر
22:72	تلو ءیی بین عرف وجه کفر نکر کود سطو تلو ءیی قول نبء شرر نور وعد ءله کفر بءس صیر
22:73	ءنس ضرب مثل سمع دعو دون ءله خلق ذبب جمع سلب ذبب شیء نقذ ضعف طلب طلب
22:74	قدر ءله حقق قدر ءله قوی عزز
22:75	ءله صفو ملک رسل ءنس ءله سمع بصر
22:76	علم بین یدی خلف ءله رجع ءمر
22:77	ءمن رکع سجد عبد ربب فعل خیر فلح
22:78	جهد ءله حقق جهد جبی جعل دین حرج ملل ءبو برهم سمو سلم قبل کون رسل شهد کون شهد ءنس قوم صلو ءتی زکو عصم ءله ولی نعم ولی نعم نصر
23:1	فلح ءمن
23:2	صلو خشع
23:3	لغو عرض
23:4	زکو فعل
23:5	فرج حفظ
23:6	زوج ملک یمن غیر لوم
23:7	بغی وری عدو
23:8	ءمن عهد رعی
23:9	صلو حفظ
23:10	ورث
23:11	ورث فردس خلد
23:12	خلق ءنس سلل طین
23:13	جعل نطف قرر مکن
23:14	خلق نطف علق خلق علق مضغ خلق مضغ عظم کسو عظم لحم نشء خلق ءخر برک ءله حسن خلق
23:15	بعد موت
23:16	یوم قوم بعث
23:17	خلق فوق سبع طرق کون خلق غفل
23:18	نزل سمو موه قدر سکن ءرض ذهب قدر
23:19	نشء جنن نخل عنب فکه کثر ءکل
23:20	شجر خرج طور سین نبت دهن صبغ ءکل
23:21	نعم عبر سقی بطن نفع کثر ءکل
23:22	فلک حمل
23:23	رسل نوح قوم قول قوم عبد ءله ءله غیر وقی
23:24	قول ملء کفر قوم بشر مثل رود فضل شیء ءله نزل ملک سمع ءبو ءول
23:25	رجل جنن ربص حین
23:26	قول ربب نصر کذب
23:27	وحی صنع فلک عین وحی جیء ءمر فور تنر سلک کلل زوج ثنی ءهل سبق قول خطب ظلم غرق
23:28	سوو فلک قول حمد ءله نجو قوم ظلم
23:29	قول ربب نزل نزل برک خیر نزل
23:30	ءیی کون بلو
23:31	نشء بعد قرن ءخر
23:32	رسل رسل عبد ءله ءله غیر وقی
23:33	قول ملء قوم کفر کذب لقی ءخر ترف حیی دنو بشر مثل ءکل ءکل شرب شرب
23:34	طوع بشر مثل خسر
23:35	وعد موت کون ترب عظم خرج
23:36	هیه هیه وعد
23:37	حیی دنو موت حیی بعث
23:38	رجل فری ءله کذب ءمن
23:39	قول ربب نصر کذب
23:40	قول قلل صبح ندم
23:41	ءخذ صیح حقق جعل غثو بعد قوم ظلم
23:42	نشء بعد قرن ءخر
23:43	سبق ءمم ءجل ءخر
23:44	رسل رسل وتر کلل جیء ءمم رسل کذب تبع بعض بعض جعل حدث بعد قوم ءمن
23:45	رسل وسی ءخو هرن ءیی سلط بین
23:46	فرعن ملء کبر کون قوم علو
23:47	قول ءمن بشر مثل قوم عبد
23:48	کذب کون هلک
23:49	ءتی وسی کتب هدی
23:50	جعل بنو ریم ءمم ءیی ءوی ربو ذوی قرر عین
23:51	رسل ءکل طیب عمل صلح عمل علم
23:52	ءمم ءمم وحد ربب وقی
23:53	قطع ءمر بین زبر کلل حزب لدی فرح
23:54	وذر غمر حین
23:55	حسب مدد مول بنو
23:56	سرع خیر شعر
23:57	خشی ربب شفق
23:58	ءیی ربب ءمن
23:59	ربب شرک
23:60	ءتی ءتی قلب وجل ربب رجع
23:61	سرع خیر سبق
23:62	کلف نفس وسع لدی کتب نطق حقق ظلم
23:63	قلب غمر عمل دون عمل
23:64	ءخذ ترف عذب جءر
23:65	جءر یوم نصر
23:66	کون ءیی تلو کون عقب نکص
23:67	کبر سمر هجر
23:68	دبر قول جیء ءتی ءبو ءول
23:69	عرف رسل نکر
23:70	قول جنن جیء حقق کثر حقق کره
23:71	تبع حقق هوی فسد سمو ءرض ءتی ذکر ذکر عرض
23:72	سءل خرج خرج ربب خیر خیر رزق
23:73	دعو صرط قوم
23:74	ءمن ءخر صرط نکب
23:75	رحم کشف ضرر لجج طغی عمه
23:76	ءخذ عذب سکن ربب ضرع
23:77	فتح بوب ذوی عذب شدد بلس
23:78	نشء سمع بصر فءد قلل شکر
23:79	ذرء ءرض حشر
23:80	حیی موت خلف لیل نهر عقل
23:81	قول مثل قول ءول
23:82	قول موت کون ترب عظم بعث
23:83	وعد ءبو قبل سطر ءول
23:84	قول ءرض کون علم
23:85	قول ءله قول ذکر
23:86	قول ربب سمو سبع ربب عرش عظم
23:87	قول ءله قول وقی
23:88	قول یدی ملک کلل شیء جور جور کون علم
23:89	قول ءله قول سحر
23:90	ءتی حقق کذب
23:91	ءخذ ءله ولد کون ءله ذهب کلل ءله خلق علو بعض بعض سبح ءله وصف
23:92	علم غیب شهد علو شرک
23:93	قول ربب رءی وعد
23:94	ربب جعل قوم ظلم
23:95	رءی وعد قدر
23:96	دفع حسن سوء علم وصف
23:97	قول ربب عوذ همز شطن
23:98	عوذ ربب حضر
23:99	جیء وحد موت قول ربب رجع
23:100	عمل صلح ترک کلم قول وری برزخ یوم بعث
23:101	نفخ صور نسب بین یوم سءل
23:102	ثقل وزن فلح
23:103	خفف وزن خسر نفس جهنم خلد
23:104	لفح وجه نور کلح
23:105	کون ءیی تلو کون کذب
23:106	قول ربب غلب شقو کون قوم ضلل
23:107	ربب خرج عود ظلم
23:108	قول خسء کلم
23:109	کون فرق عبد قول ربب ءمن غفر رحم خیر رحم
23:110	ءخذ سخر نسی ذکر کون ضحک
23:111	جزی یوم صبر فوز
23:112	قول لبث ءرض عدد سنو
23:113	قول لبث یوم بعض یوم سءل عدد
23:114	قول لبث قلل کون علم
23:115	حسب خلق عبث رجع
23:116	علو ءله ملک حقق ءله ربب عرش کرم
23:117	دعو ءله ءله ءخر برهن حسب عند ربب فلح کفر
23:118	قول ربب غفر رحم خیر رحم
24:1	سور نزل فرض نزل ءیی بین ذکر
24:2	زنی زنی جلد کلل وحد مءی جلد ءخذ رءف دین ءله کون ءمن ءله یوم ءخر شهد عذب طوف ءمن
24:3	زنی نکح زنی شرک زنی نکح زنی شرک حرم ءمن
24:4	رمی حصن ءتی ربع شهد جلد ثمن جلد قبل شهد ءبد فسق
24:5	توب بعد صلح ءله غفر رحم
24:6	رمی زوج کون شهد نفس شهد وحد ربع شهد ءله صدق
24:7	خمس لعن ءله کون کذب
24:8	درء عذب شهد ربع شهد ءله کذب
24:9	خمس غضب ءله کون صدق
24:10	فضل ءله رحم ءله توب حکم
24:11	جیء ءفک عصب حسب شرر خیر کلل مرء کسب ءثم ولی کبر عذب عظم
24:12	سمع ظنن ءمن ءمن نفس خیر قول ءفک بین
24:13	جیء ربع شهد ءتی شهد عند ءله کذب
24:14	فضل ءله رحم دنو ءخر مسس فیض عذب عظم
24:15	لقی لسن قول فوه لیس علم حسب هون عند ءله عظم
24:16	سمع قول کون کلم سبح بهت عظم
24:17	وعظ ءله عود مثل ءبد کون ءمن
24:18	بین ءله ءیی ءله علم حکم
24:19	حبب شیع فحش ءمن عذب ءلم دنو ءخر ءله علم علم
24:20	فضل ءله رحم ءله رءف رحم
24:21	ءمن تبع خطو شطن تبع خطو شطن ءمر فحش نکر فضل ءله رحم زکو وحد ءبد ءله زکو شیء ءله سمع علم
24:22	ءلو ءول فضل وسع ءتی ءول قرب سکن هجر سبل ءله عفو صفح حبب غفر ءله ءله غفر رحم
24:23	رمی حصن غفل ءمن لعن دنو ءخر عذب عظم
24:24	یوم شهد لسن یدی رجل کون عمل
24:25	یوم وفی ءله دین حقق علم ءله حقق بین
24:26	خبث خبث خبث خبث طیب طیب طیب طیب برء قول غفر رزق کرم
24:27	ءمن دخل بیت غیر بیت ءنس سلم ءهل خیر ذکر
24:28	وجد وحد دخل ءذن قول رجع رجع زکو ءله عمل علم
24:29	لیس جنح دخل بیت غیر سکن متع ءله علم بدو کتم
24:30	قول ءمن غضض بصر حفظ فرج زکو ءله خبر صنع
24:31	قول ءمن غضض بصر حفظ فرج بدو زین ظهر ضرب خمر جیب بدو زین بعل ءبو ءبو بعل بنو بنو بعل ءخو بنو ءخو بنو ءخو نسو ملک یمن تبع غیر ءول ءرب رجل طفل ظهر عور نسو ضرب رجل علم خفی زین توب ءله جمع ءمن فلح
24:32	نکح ءیم صلح عبد ءمو کون فقر غنی ءله فضل ءله وسع علم
24:33	عفف وجد نکح غنی ءله فضل بغی کتب ملک یمن کتب علم خیر ءتی مول ءله ءتی کره فتی بغی رود حصن بغی عرض حیی دنو کره ءله بعد کره غفر رحم
24:34	نزل ءیی بین مثل خلو قبل وعظ وقی
24:35	ءله نور سمو ءرض مثل نور شکو صبح صبح زجج زجج کوکب درر وقد شجر برک زیت شرق غرب کود زیت ضوء مسس نور نور نور هدی ءله نور شیء ضرب ءله مثل ءنس ءله کلل شیء علم
24:36	بیت ءذن ءله رفع ذکر سمو سبح غدو ءصل
24:37	رجل لهو تجر بیع ذکر ءله قوم صلو ءتی زکو خوف یوم قلب قلب بصر
24:38	جزی ءله حسن عمل زید فضل ءله رزق شیء غیر حسب
24:39	کفر عمل سرب قوع حسب ظمء موه جیء وجد شیء وجد ءله عند وفی حسب ءله سرع حسب
24:40	ظلم بحر لجج غشو موج فوق موج فوق سحب ظلم بعض فوق بعض خرج یدی کود رءی جعل ءله نور نور
24:41	رءی ءله سبح سمو ءرض طیر صفف کلل علم صلو سبح ءله علم فعل
24:42	ءله ملک سمو ءرض ءله صیر
24:43	رءی ءله زجو سحب ءلف بین جعل رکم رءی ودق خرج خلل نزل سمو جبل برد صوب شیء صرف شیء کود سنو برق ذهب بصر
24:44	قلب ءله لیل نهر عبر ءول بصر
24:45	ءله خلق کلل دبب موه مشی بطن مشی رجل مشی ربع خلق ءله شیء ءله کلل شیء قدر
24:46	نزل ءیی بین ءله هدی شیء صرط قوم
24:47	قول ءمن ءله رسل طوع ولی فرق بعد ءمن
24:48	دعو ءله رسل حکم بین فرق عرض
24:49	کون حقق ءتی ذعن
24:50	قلب مرض ریب خوف حیف ءله رسل ظلم
24:51	کون قول ءمن دعو ءله رسل حکم بین قول سمع طوع فلح
24:52	طوع ءله رسل خشی ءله وقی فوز
24:53	قسم ءله جهد یمن ءمر خرج قول قسم طوع عرف ءله خبر عمل
24:54	قول طوع ءله طوع رسل ولی حمل حمل طوع هدی رسل بلغ بین
24:55	وعد ءله ءمن عمل صلح خلف ءرض خلف قبل مکن دین رضو بدل بعد خوف ءمن عبد شرک شیء کفر بعد فسق
24:56	قوم صلو ءتی زکو طوع رسل رحم
24:57	حسب کفر عجز ءرض ءوی نور بءس صیر
24:58	ءمن ءذن ملک یمن بلغ حلم ثلث مرر قبل صلو فجر حین وضع ثوب ظهر بعد صلو عشو ثلث عور لیس جنح بعد طوف بعض بعض بین ءله ءیی ءله علم حکم
24:59	بلغ طفل حلم ءذن ءذن قبل بین ءله ءیی ءله علم حکم
24:60	قعد نسو رجو نکح لیس جنح وضع ثوب غیر برج زین عفف خیر ءله سمع علم
24:61	لیس عمی حرج عرج حرج مرض حرج نفس ءکل بیت بیت ءبو بیت ءمم بیت ءخو بیت ءخو بیت عمم بیت عمم بیت خیل بیت خول ملک فتح صدق لیس جنح ءکل جمع شتت دخل بیت سلم نفس حیی عند ءله برک طیب بین ءله ءیی عقل
24:62	ءمن ءمن ءله رسل کون ءمر جمع ذهب ءذن ءذن ءمن ءله رسل ءذن بعض شءن ءذن شیء غفر ءله ءله غفر رحم
24:63	جعل دعو رسل بین دعو بعض بعض علم ءله سلل لوذ حذر خلف ءمر صوب فتن صوب عذب ءلم
24:64	ءله سمو ءرض علم یوم رجع نبء عمل ءله کلل شیء علم
25:1	برک نزل فرق عبد کون علم نذر
25:2	ملک سمو ءرض ءخذ ولد کون شرک ملک خلق کلل شیء قدر قدر
25:3	ءخذ دون ءله خلق شیء خلق ملک نفس ضرر نفع ملک موت حیی نشر
25:4	قول کفر ءفک فری عون قوم ءخر جیء ظلم زور
25:5	قول سطر ءول کتب ملو بکر ءصل
25:6	قول نزل علم سرر سمو ءرض کون غفر رحم
25:7	قول رسل ءکل طعم مشی سوق نزل ملک کون نذر
25:8	لقی کنز کون جنن ءکل قول ظلم تبع رجل سحر
25:9	نظر ضرب مثل ضلل طوع سبل
25:10	برک شیء جعل خیر جنن جری تحت نهر جعل قصر
25:11	کذب سوع عتد کذب سوع سعر
25:12	رءی کون بعد سمع غیظ زفر
25:13	لقی کون ضیق قرن دعو ثبر
25:14	دعو یوم ثبر وحد دعو ثبر کثر
25:15	قول خیر جنن خلد وعد وقی کون جزی صیر
25:16	شیء خلد کون ربب وعد سءل
25:17	یوم حشر عبد دون ءله قول ضلل عبد ضلل سبل
25:18	قول سبح کون بغی ءخذ دون ولی متع ءبو نسی ذکر کون قوم بور
25:19	کذب قول طوع صرف نصر ظلم ذوق عذب کبر
